"BibNumber","MinutesStartAfterNine","FinishMinutes"
1627,60.68,179.24
1628,60.57,183.27
1629,60.62,179.33
1630,60.73,184.02
1631,61.38,266.54
1632,60.62,182.03
1633,60.43,214.2
1634,60.72,167.64
1635,60.63,191.25
1636,60.83,177.46
1637,60.67,178.98
1638,60.55,169.57
1639,60.93,168.33
1642,60.43,179.51
1643,65.77,201.36
1644,60.78,168.54
1645,60.68,169.01
1647,60.97,172.19
1648,60.53,176.91
1649,60.68,173.18
1650,61.02,193.61
1651,60.53,172.41
1652,60.78,173.49
1653,60.98,204.9
1655,60.97,185.68
1656,60.58,172.75
1658,60.9,174.1
1659,60.68,178.3
1660,60.57,178.46
1661,60.57,169.57
1662,60.92,194.51
1663,60.62,167.32
1664,60.92,168.33
1666,60.9,176.88
1667,60.88,187.59
1668,60.52,196.09
1669,61.05,168.71
1670,60.9,175.95
1671,60.52,169.94
1673,60.53,188.38
1674,60.83,218.33
1676,62.52,172.04
1678,60.53,180
1679,60.72,190.46
1680,60,272.31
1681,60.95,176.7
1684,60.83,171.72
1685,60.6,169.31
1686,60.95,171.45
1687,60.75,174.16
1688,60.67,174.59
1689,60.8,185.74
1690,60.63,174.92
1691,60.83,171.54
1692,60.8,191.13
1694,60.95,204.07
1695,60.63,183.08
1696,60.7,186.07
